"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","login page title test","chromium","2026-06-25","skipped","2026-06-25","","loginpage.spec.ts","",""
"","2030","@regression forgot pwd link exist test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","0","@regression invalid login test with - - pw1234","chromium","2026-06-25","skipped","2026-06-25","","loginpagefix.spec.ts","",""
"","1","get user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","4058","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","2823","@regression home page headers exist test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","1007","@regression GET -- get location data","chromium","2026-06-25","passed","2026-06-25","","api/amadeus.oauth2.spec.ts","",""
"","4217","@regression verify product Information/Data","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","1","Update a user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","2396","@smoke intercept and log requests","chromium","2026-06-25","passed","2026-06-25","","api/intercept.spec.ts","",""
"","2492","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","1727","@regression DELETE - delete a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.indi.spec.ts","",""
"","2409","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","671","@smoke GET -- get a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","4261","@regression verify product images count","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","2676","@smoke home page title test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-06-25","skipped","2026-06-25","","search.spec.ts","",""
"","1656","@regression POST - create a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.indi.spec.ts","",""
"","2618","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","310","@regression GET API -- get all users","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1","create a user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-25","skipped","2026-06-25","","search.spec.ts","",""
"","2","Delete a user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","344","@smoke GET -- get all users","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
