"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3206","@smoke comp logo exists on product page","chromium","2026-07-02","passed","2026-07-02","","productpage.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-07-02","skipped","2026-07-02","","search.spec.ts","",""
"","323","@regression DELETE API -- Delete a user","chromium","2026-07-02","passed","2026-07-02","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3093","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","1","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-07-02","skipped","2026-07-02","","loginpagefix.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-07-02","skipped","2026-07-02","","loginpage.spec.ts","",""
"","1","create a user test","chromium","2026-07-02","skipped","2026-07-02","","api/users.api.spec.ts","",""
"","3301","@smoke intercept and log requests","chromium","2026-07-02","passed","2026-07-02","","api/intercept.spec.ts","",""
"","1","@regression invalid login test with - - pw1234","chromium","2026-07-02","skipped","2026-07-02","","loginpagefix.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-07-02","skipped","2026-07-02","","loginpage.spec.ts","",""
"","759","@smoke GET -- get a user","chromium","2026-07-02","passed","2026-07-02","","api/users.api.schema.spec.ts","",""
"","1934","@regression PUT - update a user","chromium","2026-07-02","passed","2026-07-02","","api/users.api.indi.spec.ts","",""
"","0","Delete a user test","chromium","2026-07-02","skipped","2026-07-02","","api/users.api.spec.ts","",""
"","3061","@smoke comp logo exists on product page","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","1673","@regression POST - create a user","chromium","2026-07-02","passed","2026-07-02","","api/users.api.indi.spec.ts","",""
"","3324","@regression home page headers exist test","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","390","@@regression mock search data api","chromium","2026-07-02","passed","2026-07-02","","api/intercept.spec.ts","",""
"","810","@regression GET -- get location data","chromium","2026-07-02","passed","2026-07-02","","api/amadeus.oauth2.spec.ts","",""
"","3059","@regression invalid login test with excel data -","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","3208","@smoke footers exist on product page","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","0","Update a user test","chromium","2026-07-02","skipped","2026-07-02","","api/users.api.spec.ts","",""
"","3787","@smoke home page title test","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","2652","@smoke login page title test","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2092","@regression DELETE - delete a user","chromium","2026-07-02","passed","2026-07-02","","api/users.api.indi.spec.ts","",""
"","5205","@regression verify product Information/Data","chromium","2026-07-02","passed","2026-07-02","","productpage.spec.ts","",""
"","2894","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","3156","@smoke logout link exist test","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","2552","@regression forgot pwd link exist test","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2510","@smoke footers exist on product page","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","5210","@regression verify product images count","chromium","2026-07-02","passed","2026-07-02","","productpage.spec.ts","",""
"","3258","@smoke footers exist on product page","chromium","2026-07-02","passed","2026-07-02","","productpage.spec.ts","",""
"","4791","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-07-02","skipped","2026-07-02","","homepage.spec.ts","",""
